1996	1998	2002	2006	2010	"zkratka"	"nazev"
0	13	13	0	8	"ČSNS"	"Česká strana národně sociální"
0	0	15	1	0	"SZR"	"Strana zdravého rozumu"
0	0	4	3	0	"BPS"	"Balbínova poetická strana"
14	0	19	7	0	"ČP"	"Česká pravice"
0	0	21	11	0	"SNK ED"	"SNK Evropští demokraté /// Sdružení nezávislých"
4	0	27	14	18	"PB"	"Pravý Blok-strana za ODVOLAT.politiků,NÍZKÉ daně,MIN.byrokracie,SPRAV.justici,REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET"
16	18	28	18	20	"SZ"	"Strana zelených"
0	0	1	0	0	"NDS"	"Národně demokratická strana"
0	0	2	0	0	"DL"	"Demokratická liga"
0	0	6	0	0	"VPB"	"Volba pro budoucnost"
0	0	7	0	0	"HA"	"Humanistická aliance"
0	0	8	0	0	"AZSD"	"Akce za zruš.Senátu a proti t."
0	0	9	0	0	"N"	"Naděje"
0	0	10	0	0	"NH"	"Nové hnutí"
0	0	11	0	0	"RMS"	"Republikáni Miroslava Sládka"
0	0	12	0	0	"CZ"	"Cesta změny"
0	0	14	0	0	"ROI"	"Romská občanská iniciativa ČR"
0	0	16	0	0	"SV SOS"	"Str.venkova-spoj.občan.síly"
0	0	18	0	0	"ČSDH"	"České sociálně demokrat.hnutí"
0	0	20	0	0	"REP"	"Republikáni"
8	0	5	0	0	"ODA"	"Občanská demokratická aliance"
0	8	24	0	0	"MoDS"	"Moravská demokratická strana"
11	12	0	0	0	"DŽJ"	"Důchodci za životní jistoty /// Strana za životní jistoty"
