obec,strana,pocet
500054,8,2617
500054,17,727
500054,1,959
500054,18,271
500054,10,1709
500054,14,19
500054,5,68
500054,15,1069
500054,12,12
500054,2,3666
500054,7,1091
500054,3,11674
500054,13,28
500054,11,366
500089,8,3480
500089,17,1098
500089,1,1165
500089,18,343
500089,10,2175
500089,14,13
500089,5,121
500089,15,1450
500089,12,19
500089,2,5477
500089,7,1563
500089,3,16777
500089,13,32
500089,11,609
500097,8,4370
500097,17,1685
500097,1,1500
500097,18,673
500097,10,2290
500097,14,26
500097,5,145
500097,15,3155
500097,12,19
500097,2,8031
500097,7,1924
500097,3,20318
500097,13,58
500097,11,955
500119,8,8144
500119,17,2919
500119,1,2382
500119,18,1417
500119,10,4675
500119,14,21
500119,5,212
500119,15,5839
500119,12,57
500119,2,15491
500119,7,3740
500119,3,40116
500119,13,94
500119,11,1564
500143,8,4781
500143,17,1496
500143,1,1383
500143,18,629
500143,10,2580
500143,14,14
500143,5,145
500143,15,2574
500143,12,16
500143,2,7567
500143,7,2005
500143,3,20608
500143,13,42
500143,11,767
539449,8,73
539449,17,36
539449,1,18
539449,18,9
539449,10,23
539449,14,0
539449,5,2
539449,15,61
539449,12,0
539449,2,166
539449,7,50
539449,3,371
539449,13,0
539449,11,23
539465,8,31
539465,17,32
539465,1,6
539465,18,5
539465,10,15
539465,14,0
539465,5,2
539465,15,36
539465,12,0
539465,2,62
539465,7,20
539465,3,127
539465,13,1
539465,11,17
539601,8,370
539601,17,128
539601,1,130
539601,18,38
539601,10,187
539601,14,0
539601,5,17
539601,15,328
539601,12,0
539601,2,813
539601,7,215
539601,3,1797
539601,13,6
539601,11,100
539635,8,119
539635,17,43
539635,1,40
539635,18,13
539635,10,75
539635,14,0
539635,5,9
539635,15,103
539635,12,0
539635,2,233
539635,7,80
539635,3,658
539635,13,2
539635,11,40
539678,8,106
539678,17,47
539678,1,29
539678,18,14
539678,10,35
539678,14,1
539678,5,1
539678,15,76
539678,12,0
539678,2,206
539678,7,63
539678,3,506
539678,13,2
539678,11,35
547115,8,83
547115,17,36
547115,1,31
547115,18,13
547115,10,46
547115,14,3
547115,5,4
547115,15,91
547115,12,0
547115,2,155
547115,7,77
547115,3,470
547115,13,3
547115,11,23
539864,8,417
539864,17,132
539864,1,162
539864,18,69
539864,10,228
539864,14,3
539864,5,13
539864,15,360
539864,12,2
539864,2,840
539864,7,177
539864,3,2016
539864,13,10
539864,11,81
539899,8,135
539899,17,77
539899,1,46
539899,18,28
539899,10,49
539899,14,0
539899,5,11
539899,15,139
539899,12,1
539899,2,378
539899,7,113
539899,3,657
539899,13,2
539899,11,32
500178,8,6881
500178,17,1963
500178,1,1879
500178,18,1246
500178,10,4236
500178,14,30
500178,5,168
500178,15,6917
500178,12,34
500178,2,10869
500178,7,2399
500178,3,29286
500178,13,45
500178,11,1031
547140,8,55
547140,17,11
547140,1,21
547140,18,7
547140,10,43
547140,14,1
547140,5,1
547140,15,40
547140,12,0
547140,2,71
547140,7,39
547140,3,209
547140,13,1
547140,11,15
547158,8,93
547158,17,56
547158,1,30
547158,18,8
547158,10,47
547158,14,0
547158,5,5
547158,15,138
547158,12,0
547158,2,216
547158,7,41
547158,3,463
547158,13,2
547158,11,22
539589,8,12
539589,17,5
539589,1,4
539589,18,8
539589,10,9
539589,14,1
539589,05,0
539589,15,13
539589,12,0
539589,2,22
539589,7,7
539589,3,108
539589,13,0
539589,11,4
547174,8,1136
547174,17,490
547174,1,313
547174,18,261
547174,10,650
547174,14,12
547174,5,56
547174,15,823
547174,12,11
547174,2,2343
547174,7,460
547174,3,4491
547174,13,15
547174,11,127
547271,8,307
547271,17,125
547271,1,83
547271,18,65
547271,10,263
547271,14,0
547271,5,11
547271,15,262
547271,12,2
547271,2,521
547271,7,123
547271,3,1435
547271,13,1
547271,11,48
500186,8,2520
500186,17,929
500186,1,837
500186,18,315
500186,10,1343
500186,14,14
500186,5,86
500186,15,1530
500186,12,13
500186,2,4626
500186,7,1068
500186,3,11740
500186,13,26
500186,11,478
547328,8,37
547328,17,19
547328,1,23
547328,18,10
547328,10,44
547328,14,1
547328,5,3
547328,15,38
547328,12,1
547328,2,80
547328,7,31
547328,3,237
547328,13,1
547328,11,6
500208,8,5615
500208,17,2588
500208,1,1852
500208,18,1182
500208,10,3287
500208,14,27
500208,5,206
500208,15,5683
500208,12,37
500208,2,12873
500208,7,2909
500208,3,26133
500208,13,62
500208,11,1226
538124,8,23
538124,17,15
538124,1,16
538124,18,3
538124,10,8
538124,14,0
538124,5,1
538124,15,48
538124,12,0
538124,2,79
538124,7,20
538124,3,133
538124,13,0
538124,11,17
547298,8,125
547298,17,50
547298,1,50
547298,18,19
547298,10,43
547298,14,0
547298,5,5
547298,15,133
547298,12,4
547298,2,295
547298,7,76
547298,3,484
547298,13,3
547298,11,34
547301,8,113
547301,17,74
547301,1,35
547301,18,15
547301,10,60
547301,14,0
547301,5,8
547301,15,89
547301,12,0
547301,2,246
547301,7,124
547301,3,585
547301,13,1
547301,11,41
547361,8,1589
547361,17,833
547361,1,458
547361,18,200
547361,10,683
547361,14,11
547361,5,66
547361,15,1194
547361,12,11
547361,2,3698
547361,7,777
547361,3,6821
547361,13,20
547361,11,355
500216,8,2216
500216,17,1071
500216,1,749
500216,18,368
500216,10,1346
500216,14,12
500216,5,76
500216,15,1839
500216,12,23
500216,2,5173
500216,7,1152
500216,3,11048
500216,13,19
500216,11,547
538060,8,87
538060,17,46
538060,1,25
538060,18,15
538060,10,71
538060,14,0
538060,5,3
538060,15,98
538060,12,1
538060,2,191
538060,7,38
538060,3,370
538060,13,0
538060,11,27
547310,8,265
547310,17,149
547310,1,104
547310,18,47
547310,10,171
547310,14,2
547310,5,12
547310,15,387
547310,12,2
547310,2,797
547310,7,128
547310,3,1321
547310,13,7
547310,11,69
538175,8,82
538175,17,58
