500054,,47,,27,,26,34,,50,9437,3792,824,50,,61,5,9,,2392,19,963,13,27,,1300,49,66
500089,,85,,73,,35,65,2,76,13090,6018,1083,71,,90,10,25,,3085,31,1380,21,44,,1510,99,87
500097,,126,,53,,48,104,1,71,17933,9292,1429,87,,128,20,43,,3632,60,2970,36,58,,1831,165,132
500119,,213,,129,,84,161,1,130,35977,17466,2511,192,,221,23,52,,6743,91,5520,43,92,,3797,288,225
500143,,116,,59,,64,93,4,81,21475,9291,1877,104,,132,17,31,,4194,63,2568,28,61,,2183,158,114
500178,,122,,87,,54,83,1,86,28108,12576,2382,110,,142,20,45,,5855,67,5379,43,71,,3579,173,200
500186,,46,,44,,37,54,2,40,10538,5050,857,111,,60,13,24,,2320,27,1393,20,33,,1091,115,96
500208,,173,,80,,75,186,,80,25809,14048,1974,117,,193,17,43,,4955,71,5503,48,89,,2513,236,232
500216,,86,,35,,43,72,,31,11180,6024,724,48,,93,14,29,,1867,20,1821,25,37,,1043,109,93
500224,,180,,88,,82,131,,92,29654,14846,1884,124,,184,24,53,,5581,70,5021,37,81,,2960,220,186
500259,,7,,,,1,14,,,286,379,22,1,4,,,,4,40,,97,5,,,174,5,1
500291,,3,,1,,1,12,,,474,535,43,2,5,,,,4,59,,173,4,1,,154,11,4
500496,,181,,20,,81,250,8,42,19638,18528,816,130,,141,18,,223,4232,,5737,37,96,,3513,377,91
500526,,6,,,,1,11,,2,340,360,13,,,4,,,8,50,,115,,,,46,14,1
500623,,8,,3,,,11,,,108,195,2,1,,,,,23,27,,112,1,5,,62,5,
500801,,1,,,,4,4,,1,91,93,5,,,1,,,5,15,,53,1,1,,32,2,
500852,,4,,,,8,10,1,,481,447,16,1,,9,,,10,79,,163,1,3,,107,4,3
500861,,2,,1,,1,18,,3,177,273,12,2,,4,,,15,46,,161,2,,,107,26,
500879,,2,,,,1,,,,92,124,1,1,,1,,,1,13,,54,1,,,24,8,1
501476,,8,,,,2,10,,2,214,370,8,3,,1,,,10,58,,150,,1,,52,11,1
501646,,7,,,,1,10,,,460,436,11,3,,5,,,6,66,,158,3,6,,106,3,1
501751,,4,,1,,,10,2,,214,323,12,5,,,2,,2,47,,172,,,,76,6,
501794,,5,,2,,8,7,,1,162,295,7,,,5,1,,9,51,,137,1,4,,74,9,1
