obec,strana,pocet
532606,532606,2
532606,12,0
532606,06,0
532606,532606,14
532606,02,0
532606,13,0
532606,532606,5
532037,532037,24
532037,532037,2
532037,532037,6
532037,532037,1
532037,532037,27
532037,532037,10
532037,532037,6
532037,06,0
532037,532037,33
532037,532037,2
532037,13,0
532037,532037,5
529851,529851,20
529851,18,0
529851,529851,1
529851,529851,1
529851,529851,8
529851,529851,6
529851,529851,5
529851,06,0
529851,529851,37
529851,529851,1
529851,13,0
529851,529851,11
531031,531031,15
531031,531031,1
531031,531031,9
531031,04,0
531031,531031,32
531031,531031,9
531031,531031,5
531031,06,0
531031,531031,49
531031,02,0
531031,13,0
531031,531031,7
533084,533084,25
533084,533084,4
533084,533084,6
533084,533084,10
533084,533084,36
533084,533084,12
533084,533084,9
533084,06,0
533084,533084,58
533084,533084,2
533084,533084,1
533084,533084,19
529940,529940,26
529940,18,0
529940,529940,6
529940,529940,5
529940,529940,46
529940,529940,14
529940,529940,10
529940,06,0
529940,529940,40
529940,529940,2
529940,529940,1
529940,529940,13
529974,529974,11
529974,529974,2
529974,529974,10
529974,529974,4
529974,529974,83
529974,529974,22
529974,529974,13
529974,06,0
529974,529974,70
529974,529974,1
529974,13,0
529974,529974,18
530000,530000,53
530000,530000,2
530000,530000,10
530000,04,0
530000,530000,49
530000,530000,22
530000,530000,11
530000,530000,2
530000,530000,91
530000,530000,1
530000,530000,1
530000,530000,18
530051,530051,13
530051,530051,2
530051,530051,4
530051,04,0
530051,530051,84
530051,530051,42
530051,530051,12
530051,06,0
530051,530051,131
530051,530051,4
530051,530051,15
530051,530051,19
532258,532258,14
532258,18,0
532258,532258,2
532258,04,0
532258,532258,2
532258,532258,5
532258,532258,3
532258,06,0
532258,532258,16
532258,02,0
532258,13,0
532258,532258,3
530107,530107,64
530107,530107,2
530107,530107,15
530107,530107,1
530107,530107,118
530107,530107,49
530107,530107,12
530107,06,0
530107,530107,131
530107,530107,9
530107,530107,2
530107,530107,50
530115,530115,56
530115,530115,6
530115,530115,16
530115,530115,4
530115,530115,87
530115,530115,54
530115,530115,15
530115,530115,1
530115,530115,179
530115,530115,8
530115,13,0
530115,530115,32
530166,530166,61
530166,530166,6
530166,530166,26
530166,530166,8
530166,530166,124
530166,530166,64
530166,530166,20
530166,530166,2
530166,530166,194
530166,530166,13
530166,13,0
530166,530166,56
530191,530191,41
530191,18,0
530191,530191,2
530191,04,0
530191,530191,19
530191,530191,15
530191,530191,8
530191,530191,1
530191,530191,49
530191,530191,1
530191,530191,1
530191,530191,13
530212,530212,104
530212,530212,4
530212,530212,25
530212,530212,8
530212,530212,142
530212,530212,69
530212,530212,20
530212,530212,2
530212,530212,204
530212,530212,10
530212,530212,1
530212,530212,45
530263,530263,17
530263,530263,2
530263,530263,10
530263,530263,5
530263,530263,139
530263,530263,7
530263,530263,6
530263,06,0
530263,530263,79
530263,530263,3
530263,13,0
530263,530263,35
530301,530301,51
530301,530301,6
530301,530301,16
530301,530301,5
530301,530301,59
530301,530301,27
530301,530301,9
530301,530301,2
530301,530301,121
530301,530301,1
530301,13,0
530301,530301,21
530344,530344,77
530344,530344,15
530344,530344,22
530344,530344,11
530344,530344,161
530344,530344,80
530344,530344,15
530344,530344,3
530344,530344,239
530344,530344,16
530344,530344,1
530344,530344,41
530352,530352,50
530352,530352,1
530352,530352,7
530352,530352,3
530352,530352,82
530352,530352,11
530352,530352,9
530352,06,0
530352,530352,64
530352,530352,4
530352,13,0
530352,530352,10
530409,530409,17
530409,530409,1
530409,530409,6
530409,530409,1
530409,530409,55
530409,530409,18
530409,530409,6
530409,06,0
530409,530409,48
530409,530409,3
530409,13,0
530409,530409,15
530441,530441,58
530441,530441,9
530441,530441,24
530441,530441,10
530441,530441,138
530441,530441,50
530441,530441,21
530441,530441,3
530441,530441,195
530441,530441,5
530441,530441,1
530441,530441,66
530476,530476,49
530476,530476,1
530476,530476,17
530476,530476,4
530476,530476,102
530476,530476,46
530476,530476,10
530476,06,0
530476,530476,110
530476,530476,1
530476,13,0
530476,530476,22
530514,530514,13
530514,530514,3
530514,530514,7
530514,04,0
530514,530514,26
530514,530514,11
530514,530514,1
530514,530514,1
530514,530514,24
530514,02,0
530514,13,0
530514,530514,5
530522,530522,12
530522,530522,1
530522,530522,13
530522,530522,5
530522,530522,40
530522,530522,15
530522,530522,4
530522,06,0
530522,530522,38
530522,530522,4
530522,530522,1
530522,530522,8
530549,530549,25
530549,530549,1
530549,530549,10
530549,530549,2
530549,530549,38
530549,530549,11
530549,530549,4
530549,06,0
530549,530549,28
530549,530549,2
530549,530549,1
530549,530549,7
532941,532941,15
532941,532941,1
532941,532941,7
532941,04,0
532941,532941,16
532941,532941,5
532941,532941,4
532941,06,0
532941,532941,47
532941,02,0
532941,13,0
532941,532941,10
532231,532231,5
532231,18,0
532231,532231,2
532231,532231,3
532231,532231,2
532231,532231,4
532231,532231,4
532231,06,0
532231,532231,13
532231,02,0
532231,13,0
532231,11,0
532436,532436,36
532436,532436,1
532436,532436,6
532436,532436,1
532436,532436,7
532436,532436,1
532436,532436,2
532436,06,0
532436,532436,34
532436,02,0
532436,13,0
532436,532436,4
599387,599387,33
599387,18,0
599387,599387,2
599387,599387,3
599387,599387,29
599387,599387,13
599387,599387,6
599387,599387,2
599387,599387,50
599387,599387,2
599387,13,0
599387,599387,15
599361,599361,14
599361,599361,1
599361,599361,2
599361,599361,3
599361,599361,9
599361,599361,14
599361,599361,3
599361,599361,1
599361,599361,48
599361,599361,1
599361,13,0
599361,599361,2
530701,530701,15
530701,530701,2
530701,530701,14
530701,530701,1
530701,530701,69
530701,530701,20
530701,530701,12
530701,530701,2
530701,530701,62
530701,02,0
530701,13,0
530701,530701,34
532509,532509,24
532509,532509,1
532509,10,0
532509,04,0
532509,532509,11
532509,532509,3
532509,532509,2
532509,06,0
532509,532509,7
532509,02,0
532509,13,0
532509,11,0
530760,530760,76
530760,530760,3
530760,530760,9
530760,530760,5
530760,530760,53
530760,530760,12
530760,530760,5
530760,530760,1
530760,530760,95
530760,530760,2
530760,530760,2
530760,530760,11
532592,532592,5
532592,532592,1
532592,532592,7
532592,04,0
532592,532592,43
532592,532592,5
532592,532592,4
532592,06,0
532592,532592,54
532592,532592,1
532592,13,0
532592,532592,5
530816,530816,149
530816,530816,4
530816,530816,23
530816,530816,11
530816,530816,159
530816,530816,68
530816,530816,22
530816,530816,6
530816,530816,196
530816,530816,6
530816,530816,1
530816,530816,49
530841,530841,172
530841,530841,39
530841,530841,80
530841,530841,22
530841,530841,937
530841,530841,381
530841,530841,76
530841,530841,14
530841,530841,1062
530841,530841,31
530841,530841,2
530841,530841,238
530867,530867,44
530867,530867,2
530867,530867,5
530867,530867,4
