obec,strana,pocet
500054,1,18
500054,1,18
500054,15,16
500054,15,16
500054,2,14
500054,2,14
500054,16,18
500054,16,18
500054,3,4399
500054,3,4399
500054,19,16
500054,19,16
500054,4,235
500054,4,235
500054,20,6
500054,20,6
500054,5,120
500054,5,120
500054,21,385
500054,21,385
500054,6,36
500054,6,36
500054,22,6366
500054,22,6366
500054,7,53
500054,7,53
500054,23,1252
500054,23,1252
500054,9,154
500054,9,154
500054,25,4579
500054,25,4579
500054,10,4
500054,10,4
500054,26,54
500054,26,54
500054,11,85
500054,11,85
500054,27,202
500054,27,202
500054,12,74
500054,12,74
500054,28,553
500054,28,553
500054,13,150
500054,13,150
500054,29,19
500054,29,19
500089,1,25
500089,1,25
500089,15,31
500089,15,31
500089,2,19
500089,2,19
500089,16,35
500089,16,35
500089,3,6413
500089,3,6413
500089,19,17
500089,19,17
500089,4,350
500089,4,350
500089,20,9
500089,20,9
500089,5,172
500089,5,172
500089,21,499
500089,21,499
500089,6,46
500089,6,46
500089,22,9141
500089,22,9141
500089,7,72
500089,7,72
500089,23,1803
500089,23,1803
500089,9,193
500089,9,193
500089,25,5592
500089,25,5592
500089,10,8
500089,10,8
500089,26,73
500089,26,73
500089,11,117
500089,11,117
500089,27,287
500089,27,287
500089,12,71
500089,12,71
500089,28,714
500089,28,714
500089,13,197
500089,13,197
500089,29,22
500089,29,22
500097,1,36
500097,1,36
500097,15,36
500097,15,36
500097,2,17
500097,2,17
500097,16,61
500097,16,61
500097,3,9396
500097,3,9396
500097,19,11
500097,19,11
500097,4,339
500097,4,339
500097,20,21
500097,20,21
500097,5,204
500097,5,204
500097,21,564
500097,21,564
500097,6,72
500097,6,72
500097,22,11999
500097,22,11999
500097,7,86
500097,7,86
500097,23,3856
500097,23,3856
500097,9,279
500097,9,279
500097,25,6358
500097,25,6358
500097,10,5
500097,10,5
500097,26,145
500097,26,145
500097,11,165
500097,11,165
500097,27,327
500097,27,327
500097,12,115
500097,12,115
500097,28,883
500097,28,883
500097,13,306
500097,13,306
500097,29,32
500097,29,32
500119,1,74
500119,1,74
500119,15,80
500119,15,80
500119,2,35
500119,2,35
500119,16,96
500119,16,96
500119,3,17464
500119,3,17464
500119,19,22
500119,19,22
500119,4,548
500119,4,548
500119,20,52
500119,20,52
500119,5,364
500119,5,364
500119,21,1304
500119,21,1304
500119,6,107
500119,6,107
500119,22,23399
500119,22,23399
500119,7,187
500119,7,187
500119,23,7062
500119,23,7062
500119,9,499
500119,9,499
500119,25,13619
500119,25,13619
500119,10,20
500119,10,20
500119,26,259
500119,26,259
500119,11,293
500119,11,293
500119,27,516
500119,27,516
500119,12,222
500119,12,222
500119,28,1632
500119,28,1632
500119,13,568
500119,13,568
500119,29,56
500119,29,56
539601,1,3
539601,1,3
539601,15,2
539601,15,2
539601,2,1
539601,2,1
539601,16,5
539601,16,5
539601,3,834
539601,3,834
539601,19,4
539601,19,4
539601,4,24
539601,4,24
539601,20,2
539601,20,2
539601,5,18
539601,5,18
539601,21,90
539601,21,90
539601,6,9
539601,6,9
539601,22,1326
539601,22,1326
539601,7,16
539601,7,16
539601,23,426
539601,23,426
539601,9,30
539601,9,30
539601,25,632
539601,25,632
539601,10,1
539601,10,1
539601,26,13
539601,26,13
539601,11,17
539601,11,17
539601,27,24
539601,27,24
539601,12,7
539601,12,7
539601,28,74
539601,28,74
539601,13,27
539601,13,27
539601,29,2
539601,29,2
539678,1,1
539678,1,1
539678,15,3
539678,2,0
539678,15,3
539678,16,6
539678,2,0
539678,3,206
539678,16,6
539678,19,3
539678,3,206
539678,4,9
539678,19,3
539678,20,0
539678,4,9
539678,5,3
539678,20,0
539678,21,26
539678,5,3
539678,6,0
539678,21,26
539678,22,475
539678,6,0
539678,7,3
539678,22,475
539678,23,102
539678,7,3
539678,9,6
539678,23,102
539678,25,179
539678,9,6
539678,10,0
539678,25,179
539678,26,3
539678,10,0
539678,11,2
539678,26,3
539678,27,25
539678,11,2
539678,12,3
539678,27,25
539678,28,34
539678,12,3
539678,13,6
539678,28,34
539678,29,0
539678,13,6
500143,1,37
539678,29,0
500143,15,57
500143,1,37
500143,2,29
500143,15,57
500143,16,60
500143,2,29
500143,3,9241
500143,16,60
500143,19,24
500143,3,9241
500143,4,357
500143,19,24
500143,20,16
500143,4,357
500143,5,243
500143,20,16
500143,21,823
500143,5,243
500143,6,60
500143,21,823
500143,22,13101
500143,6,60
500143,7,156
500143,22,13101
500143,23,3384
500143,7,156
500143,9,306
500143,23,3384
500143,25,7874
500143,9,306
500143,10,11
500143,25,7874
500143,26,150
500143,10,11
500143,11,153
500143,26,150
500143,27,319
500143,11,153
500143,12,152
500143,27,319
500143,28,911
500143,12,152
500143,13,293
500143,28,911
500143,29,22
500143,13,293
547115,1,1
500143,29,22
547115,15,0
547115,1,1
547115,2,2
547115,15,0
547115,16,5
547115,2,2
547115,3,213
547115,16,5
547115,19,1
547115,3,213
547115,4,6
547115,19,1
547115,20,1
547115,4,6
547115,5,2
547115,20,1
547115,21,33
547115,5,2
547115,6,0
547115,21,33
547115,22,348
547115,6,0
547115,7,3
547115,22,348
547115,23,86
547115,7,3
