500852,714,229,20,27,130,17,84,,,5,1,107,,2,,24,,112,9,,319,192,,45,2
500861,487,164,17,28,64,2,29,,,1,4,83,,2,,32,,61,3,,105,182,,22,4
500879,234,77,3,6,16,1,37,,,1,1,11,,1,,6,,28,1,,108,52,,8,1
501476,743,174,18,24,48,4,43,,,1,3,36,,2,,11,,97,3,,176,170,2,19,7
501646,769,233,35,35,186,9,55,,,2,2,118,,3,,18,,89,11,,276,181,1,31,5
501751,572,204,6,29,48,4,39,,,3,6,67,,2,,14,,72,5,,129,173,,17,10
501794,502,153,11,16,33,,25,,,1,,80,,1,,14,,53,12,,168,138,,25,6
501841,457,149,8,24,41,4,32,,,,1,50,,3,,14,,77,9,,163,135,,21,1
502146,1671,454,30,40,97,5,122,,,3,2,97,,4,,25,,158,13,,340,443,,37,11
502235,486,161,15,12,89,3,78,,,2,,32,,3,,16,,70,3,,168,120,,14,4
502405,187,54,8,7,25,2,16,,,,1,29,,2,,5,,39,7,,65,31,,7,4
502545,720,234,14,43,95,14,64,,,5,,76,,1,,19,,134,9,,231,178,,27,6
502839,237,97,4,6,12,,14,,,,,50,,1,,7,,29,,,47,81,1,10
503142,189,62,3,11,35,,7,,,2,1,13,,,,1,,26,2,,47,65,,5,2
503304,238,100,15,2,34,1,29,,,,3,58,,2,,5,,26,3,,82,72,1,14
503410,61,26,1,3,1,,4,,,,,2,,,,1,,10,1,,29,12,,1
503444,3414,1250,71,108,302,14,250,,,20,7,350,,17,,66,,410,25,,793,833,2,109,10
503622,235,93,14,7,20,,25,,,,1,55,,2,,14,,29,1,,62,105,4,4,10
503657,1123,384,23,43,93,4,47,,,4,1,95,,1,,43,,129,15,,270,275,,43,5
503738,379,126,10,54,23,1,23,,,6,,48,,1,,4,,44,6,,89,117,1,4,1
503916,216,35,2,4,7,,17,,,,,4,,,,1,,13,3,,25,92,,6
503941,411,91,1,6,6,8,,,,,,10,,1,,6,,39,10,,64,147,1,8
504246,324,54,1,12,11,,17,,,3,1,32,,3,,8,,36,,,56,67,1,3,4
504301,110,41,2,5,16,,11,,,1,2,6,,,,,,8,3,,42,38,,3
504441,491,162,7,19,36,2,15,,,2,4,73,,6,,8,,81,5,,123,153,,8,1
504505,610,209,12,35,94,3,79,,,3,2,88,,,,15,,107,2,,204,152,,29,4
504785,494,142,7,11,31,,30,,,2,,53,,2,,20,,59,2,,109,109,1,17,1
504807,57,24,1,,18,1,9,,,1,,11,,1,,7,,12,2,,48,9,,3
504921,74,39,2,7,13,,3,,,1,,5,,2,,4,,12,1,,58,21,,4
504955,49,12,2,4,7,1,9,,,,,2,,,,5,,2,3,,21,17,,1
505005,111,43,13,3,19,,19,,,,,14,,,,3,,20,2,,54,42,,4
505013,398,148,11,13,47,5,54,,,2,1,31,,4,,4,,43,9,,127,111,,15
505030,50,16,1,,10,,4,,,1,1,3,,,,,,9,,,27,19,,5
505081,515,186,11,16,82,5,53,,,2,3,93,,4,,64,,29,4,,183,206,,16,1
505099,45,16,,,17,1,2,,,1,1,19,,1,,,,6,2,,36,8,,3
505111,469,216,14,14,66,3,36,,,3,1,60,,3,,16,,55,3,,171,121,,9,6
505145,634,155,15,15,55,7,40,,1,2,4,23,,3,,9,,34,9,,143,132,1,12,3
505161,1220,400,29,21,114,6,56,,,7,3,130,,5,,16,,149,9,,309,281,,35,2
505188,4843,1435,136,157,473,42,513,,,17,14,368,,13,,81,,733,77,,1275,878,4,147,18
