obec,strana,pocet
539007,18,13
539007,10,31
539007,4,23
539007,5,519
539007,9,110
539007,12,27
539007,6,1
539007,7,402
539007,2,12
539007,13,2
539007,11,194
547387,1,771
547387,18,122
547387,10,372
547387,4,341
547387,5,6944
547387,9,999
547387,12,202
547387,6,44
547387,7,4080
547387,2,85
547387,13,28
547387,11,1990
538078,1,16
538078,18,1
538078,10,5
538078,4,3
538078,5,67
538078,9,12
538078,12,3
538078,06,0
538078,7,50
538078,2,6
538078,13,0
538078,11,16
547379,1,38
547379,18,1
547379,10,20
547379,4,11
547379,5,332
547379,9,35
547379,12,10
547379,6,3
547379,7,146
547379,2,3
547379,13,4
547379,11,60
538205,1,67
538205,18,6
538205,10,31
538205,4,20
538205,5,442
538205,9,89
538205,12,17
538205,6,4
538205,7,314
538205,2,10
538205,13,3
538205,11,115
538361,1,83
538361,18,10
538361,10,25
538361,4,17
538361,5,407
538361,9,76
538361,12,17
538361,6,4
538361,7,258
538361,2,8
538361,13,3
538361,11,94
538388,1,9
538388,18,1
538388,10,7
538388,4,3
538388,5,63
538388,9,20
538388,12,12
538388,6,1
538388,7,53
538388,2,2
538388,13,0
538388,11,10
538400,1,24
538400,18,1
538400,10,0
538400,4,3
538400,5,58
538400,9,14
538400,12,1
538400,6,1
538400,7,57
538400,2,1
538400,13,0
538400,11,13
538531,1,7
538531,18,1
538531,10,7
538531,4,3
538531,5,80
538531,9,4
538531,12,1
538531,06,0
538531,7,28
538531,02,0
538531,13,0
538531,11,23
547395,1,199
547395,18,36
547395,10,63
547395,4,71
547395,5,1271
547395,9,201
547395,12,24
547395,6,10
547395,7,748
547395,2,16
547395,13,10
547395,11,429
547409,1,40
547409,18,5
547409,10,14
547409,4,9
547409,5,260
547409,9,47
547409,12,11
547409,6,1
547409,7,95
547409,2,1
547409,13,0
547409,11,48
538931,1,144
538931,18,27
538931,10,91
538931,4,50
538931,5,1107
538931,9,174
538931,12,55
538931,6,4
538931,7,789
538931,2,15
538931,13,5
538931,11,283
547034,1,2760
547034,18,431
547034,10,1133
547034,4,1022
547034,5,20254
547034,9,3749
547034,12,775
547034,6,103
547034,7,12892
547034,2,263
547034,13,122
547034,11,6420
547042,1,159
547042,18,23
547042,10,53
547042,4,57
547042,5,1172
547042,9,202
547042,12,47
547042,6,5
547042,7,479
547042,2,6
547042,13,12
547042,11,335
539724,1,51
539724,18,4
539724,10,23
539724,4,19
539724,5,409
539724,9,58
539724,12,16
539724,6,3
539724,7,191
539724,2,4
539724,13,4
539724,11,69
539791,1,44
539791,18,4
539791,10,16
539791,4,15
539791,5,452
539791,9,33
539791,12,11
539791,06,0
539791,7,149
539791,2,7
539791,13,5
539791,11,119
547107,1,1863
547107,18,283
547107,10,791
547107,4,688
547107,5,13360
547107,9,2766
547107,12,448
547107,6,74
547107,7,8409
547107,2,206
547107,13,74
547107,11,4011
547051,1,197
547051,18,38
547051,10,79
547051,4,76
547051,5,1924
547051,9,232
547051,12,32
547051,6,6
547051,7,922
547051,2,9
547051,13,14
547051,11,557
539694,1,1446
539694,18,200
539694,10,599
539694,4,516
539694,5,10482
539694,9,1482
539694,12,303
539694,6,48
539694,7,6237
539694,2,160
539694,13,59
539694,11,3511
529303,1,706
529303,18,94
529303,10,231
529303,4,142
529303,5,3094
529303,9,763
529303,12,264
529303,6,26
529303,7,3257
529303,2,79
529303,13,24
529303,11,852
532568,1,63
532568,18,2
532568,10,1
532568,4,4
532568,5,29
532568,9,8
532568,12,6
532568,06,0
532568,7,55
532568,2,1
532568,13,1
532568,11,5
530743,1,12
530743,18,1
530743,10,8
530743,4,1
530743,5,14
530743,9,24
530743,12,11
530743,06,0
530743,7,72
530743,2,5
530743,13,0
530743,11,3
532380,1,17
532380,18,1
532380,10,2
532380,04,0
532380,5,12
532380,9,12
532380,12,1
532380,06,0
532380,7,27
532380,02,0
532380,13,0
532380,11,6
532096,1,12
532096,18,0
532096,10,0
532096,04,0
532096,5,22
532096,9,1
532096,12,1
532096,06,0
532096,7,32
532096,2,1
532096,13,0
532096,11,1
532924,1,15
532924,18,3
532924,10,15
532924,4,3
532924,5,100
532924,9,31
532924,12,10
532924,6,5
532924,7,88
532924,2,1
532924,13,0
532924,11,24
529451,1,258
529451,18,20
529451,10,96
529451,4,24
529451,5,559
529451,9,197
529451,12,90
529451,6,7
529451,7,858
529451,2,32
529451,13,4
529451,11,114
532690,1,13
532690,18,1
532690,10,6
532690,04,0
532690,5,20
532690,9,3
532690,12,0
532690,06,0
532690,7,23
532690,02,0
532690,13,0
532690,11,3
529478,1,15
529478,18,0
529478,10,3
529478,4,3
529478,5,22
529478,9,4
529478,12,1
529478,06,0
529478,7,14
529478,02,0
529478,13,0
529478,11,5
529486,1,214
529486,18,7
529486,10,26
529486,4,16
529486,5,174
529486,9,89
529486,12,14
529486,6,1
529486,7,274
529486,2,10
529486,13,2
529486,11,72
529516,1,112
529516,18,26
529516,10,51
529516,4,12
529516,5,599
529516,9,68
529516,12,37
529516,6,6
529516,7,466
529516,2,17
529516,13,1
529516,11,142
529532,1,46
529532,18,0
529532,10,4
529532,04,0
529532,5,63
529532,9,11
529532,12,11
529532,6,1
529532,7,59
529532,2,1
529532,13,1
529532,11,13
529541,1,10
529541,18,2
529541,10,2
529541,4,2
529541,5,53
529541,9,17
529541,12,4
529541,06,0
529541,7,29
529541,02,0
529541,13,0
529541,11,10
529567,1,14
529567,18,1
529567,10,5
529567,4,3
529567,5,68
529567,9,15
529567,12,7
529567,6,1
529567,7,56
529567,2,1
529567,13,0
529567,11,10
532746,1,23
532746,18,0
532746,10,2
532746,4,1
532746,5,4
532746,9,4
532746,12,0
532746,06,0
532746,7,8
532746,02,0
532746,13,0
532746,11,2
529621,1,98
529621,18,13
529621,10,25
529621,4,6
529621,5,179
529621,9,110
529621,12,16
529621,6,3
529621,7,310
529621,2,7
529621,13,8
529621,11,44
529648,1,97
529648,18,5
529648,10,17
529648,4,12
529648,5,110
529648,9,75
529648,12,32
529648,6,1
529648,7,193
529648,2,7
529648,13,0
529648,11,32
532151,1,8
532151,18,0
532151,10,2
532151,4,1
532151,5,18
532151,9,6
532151,12,0
532151,06,0
532151,7,10
532151,2,1
532151,13,0
532151,11,5
532843,1,16
532843,18,3
532843,10,0
532843,04,0
532843,5,7
532843,9,6
532843,12,1
532843,06,0
532843,7,13
532843,02,0
532843,13,0
532843,11,4
529702,1,43
529702,18,8
529702,10,18
529702,4,7
529702,5,121
529702,9,54
529702,12,16
529702,6,4
529702,7,129
529702,2,4
529702,13,0
529702,11,32
532932,1,5
532932,18,1
532932,10,0
532932,04,0
532932,5,2
532932,09,0
532932,12,1
532932,06,0
532932,7,9
532932,2,4
532932,13,1
532932,11,2
529737,1,16
529737,18,3
529737,10,7
529737,4,1
529737,5,67
529737,9,30
529737,12,4
529737,6,1
529737,7,56
529737,2,4
529737,13,0
529737,11,23
529745,1,6
529745,18,2
529745,10,1
529745,4,4
529745,5,104
529745,9,24
529745,12,3
529745,6,1
529745,7,62
529745,2,3
529745,13,1
529745,11,18
532886,1,3
532886,18,2
532886,10,2
532886,04,0
532886,5,28
532886,9,10
532886,12,5
532886,06,0
532886,7,52
532886,2,3
532886,13,1
532886,11,6
532878,1,4
532878,18,0
532878,10,1
532878,04,0
532878,5,9
532878,9,2
532878,12,2
532878,06,0
532878,7,17
532878,2,1
532878,13,2
532878,11,4
532045,1,5
532045,18,2
532045,10,2
532045,04,0
532045,5,63
532045,9,7
532045,12,6
532045,06,0
532045,7,46
532045,2,1
532045,13,0
532045,11,12
529770,1,30
529770,18,2
529770,10,0
529770,04,0
529770,5,9
529770,9,11
529770,12,4
529770,06,0
529770,7,33
529770,2,1
529770,13,0
529770,11,3
529788,1,36
529788,18,2
529788,10,2
529788,04,0
529788,5,10
529788,09,0
529788,12,1
529788,06,0
529788,7,15
529788,2,1
529788,13,0
529788,11,1
529796,1,53
529796,18,4
529796,10,30
529796,4,8
529796,5,179
529796,9,78
529796,12,20
529796,6,3
529796,7,221
529796,2,12
529796,13,3
529796,11,54
532606,1,9
532606,18,0
532606,10,1
532606,04,0
532606,5,13
532606,9,2
532606,12,0
532606,06,0
532606,7,14
532606,02,0
